ActionType,ActionParameters,duration,,,,,,
GetDetail,Article 79,92,,,,,,
GetDetail,Article 294,103,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 1,13,,,,,,
GetDetail,Article 2,68,,,,,,
GetDetail,Article 208,23,,,,,,
GetDetail,Article 434,14,,,,,,
GetDetail,Article 434,3,,,,,,
GetDetail,Article 253,10,,,,,,
GetDetail,Article 264,8,,,,,,
GetDetail,Article 198,6,,,,,,
GetDetail,Article 257,15,,,,,,
GetDetail,Article 97,19,,,,,,
GetDetail,Article 164,21,,,,,,
GetDetail,Article 337,107,,,,,,
GetDetail,Article 250,20,,,,,,
GetDetail,Article 250,7,,,,,,
GetDetail,Article 442,59,,,,,,
EditNotes,VAST32P_revision_65_July_18_11:02_AM.patch,77,,,,,,
GetDetail,Article 213,43,,,,,,
EditNotes,VAST32P_revision_68_July_18_11:04_AM.patch,240,,,,,,
EditNotes,VAST32P_revision_73_July_18_11:08_AM.patch,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,141,,,,,,
GetDetail,Article 406,56,,,,,,
GetDetail,Bio-Ada%20Campo.pdf,0,,,,,,
Search,lor from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,h from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,h from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,v from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,v from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,i from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search,i from 1982-01-01 to 2015-01-01 page 0,19,,,,,,
Search,he from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,mi from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,mi from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,mi from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,security from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,security from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
